ticker,pattern,months_ago,latest_price,prev_open,prev_close,curr_open,curr_close
1311.T,bullish_engulfing,3,1870.0,1798.0,1784.0,1784.0,1870.0
1332.T,bullish_engulfing,3,1295.0,1235.5,1144.0,1144.0,1295.0
1358.T,bullish_engulfing,3,91200.0,81720.0,81610.0,81610.0,91200.0
1365.T,bullish_engulfing,3,73600.0,66220.0,66110.0,66110.0,73600.0
1377.T,bullish_engulfing,2,4410.0,4270.0,4055.0,4055.0,4410.0
1380.T,bullish_engulfing,4,1008.0,1000.0,996.0,996.0,1008.0
1381.T,bullish_engulfing,3,4245.0,4155.0,4145.0,4145.0,4245.0
1399.T,bullish_engulfing,3,2807.94091796875,2771.9929265396063,2726.059326171875,2726.0592838032317,2807.94091796875
1419.T,bullish_engulfing,3,3715.0,3635.0,3580.0,3580.0,3715.0
1435.T,bullish_engulfing,2,212.0,176.0,164.0,164.0,212.0
1438.T,bullish_engulfing,2,1883.0,1815.0,1775.0,1775.0,1883.0
1458.T,bullish_engulfing,3,57030.0,51170.0,51150.0,51150.0,57030.0
1514.T,bullish_engulfing,3,672.0,578.0,530.0,530.0,672.0
1547.T,bullish_engulfing,1,11640.0,11630.0,11615.0,11550.0,11640.0
1559.T,bullish_engulfing,4,3817.0,3735.0,3700.0,3684.0,3817.0
1563.T,bullish_engulfing,3,2209.0,2131.0,2114.0,2114.0,2209.0
1570.T,bullish_engulfing,3,48070.0,43170.0,43100.0,43100.0,48070.0
1572.T,bullish_engulfing,3,8386.0,8255.0,8006.0,8006.0,8386.0
1579.T,bullish_engulfing,3,517.4000244140625,464.20001220703125,463.70001220703125,463.70001220703125,517.4000244140625
1585.T,bullish_engulfing,3,2382.96435546875,2343.6628902574766,2313.316162109375,2313.3161279602687,2382.96435546875
1617.T,bullish_engulfing,3,42090.0,42050.0,41330.0,41330.0,42090.0
1624.T,bullish_engulfing,3,83590.0,75000.0,73070.0,73070.0,83590.0
1653.T,bullish_engulfing,4,4462.58984375,4410.030573325037,4395.1552734375,4333.670581597222,4462.58984375
1655.T,bullish_engulfing,1,774.2000122070312,772.1504964582983,768.4697875976562,767.0999755859375,774.2000122070312
1658.T,bullish_engulfing,4,3568.677978515625,3522.2804496200392,3507.47265625,3503.5236917709417,3568.677978515625
1671.T,bullish_engulfing,3,3271.0,3030.0,2978.0,2978.0,3271.0
1681.T,bullish_engulfing,4,2732.19091796875,2684.0855090562522,2651.68798828125,2637.943584830051,2732.19091796875
1685.T,bullish_engulfing,3,574.5999755859375,533.0999755859375,506.79998779296875,506.79998779296875,574.5999755859375
1690.T,bullish_engulfing,3,1522.0,1413.0,1385.5,1385.5,1522.0
1691.T,bullish_engulfing,3,8356.0,8299.0,7757.0,7757.0,8356.0
1699.T,bullish_engulfing,3,417.6000061035156,390.8999938964844,384.1000061035156,384.1000061035156,417.6000061035156
1768.T,bullish_engulfing,3,1431.0,1402.0,1366.0,1366.0,1431.0
1776.T,bullish_engulfing,2,1684.0,1639.0,1609.0,1606.0,1684.0
1783.T,bullish_engulfing,3,66.0,63.0,61.0,61.0,66.0
1786.T,bullish_engulfing,2,435.0,414.0,410.0,410.0,435.0
1793.T,bullish_engulfing,4,1536.0,1443.0,1436.0,1436.0,1536.0
1814.T,bullish_engulfing,3,3830.0,3805.0,3740.0,3740.0,3830.0
1833.T,bullish_engulfing,3,6440.0,6210.0,6190.0,6190.0,6440.0
1840.T,bullish_engulfing,3,226.0,225.0,220.0,220.0,226.0
1844.T,bullish_engulfing,3,616.0,591.0,519.0,519.0,616.0
1852.T,bullish_engulfing,3,1056.0,1031.0,1022.0,1022.0,1056.0
1861.T,bullish_engulfing,3,1734.0,1593.0,1545.0,1545.0,1734.0
1885.T,bullish_engulfing,3,3140.0,2948.0,2831.0,2831.0,3140.0
1887.T,bullish_engulfing,3,630.0,555.0,540.0,540.0,630.0
1909.T,bullish_engulfing,3,10730.0,9290.0,9200.0,9200.0,10730.0
1921.T,bullish_engulfing,2,2072.0,2036.0,2028.0,2028.0,2072.0
1926.T,bullish_engulfing,3,3495.0,3440.0,3385.0,3385.0,3495.0
1946.T,bullish_engulfing,3,2045.0,1987.0,1939.0,1939.0,2045.0
1952.T,bullish_engulfing,3,3285.0,3175.0,3145.0,3145.0,3285.0
1959.T,bullish_engulfing,3,8061.0,7979.0,7697.0,7697.0,8061.0
1963.T,bullish_engulfing,3,2162.5,1934.5,1900.5,1900.5,2162.5
1964.T,bullish_engulfing,3,4685.0,4630.0,4355.0,4355.0,4685.0
1992.T,bullish_engulfing,1,2849.0,2799.0,2793.0,2789.0,2849.0
1997.T,bullish_engulfing,4,3825.0,3655.0,3590.0,3575.0,3825.0
2001.T,bullish_engulfing,3,2635.0,2394.0,2381.0,2381.0,2635.0
2039.T,bullish_engulfing,4,906.0,896.0,888.0,886.0,906.0
2047.T,bullish_engulfing,3,3325.0,3293.0,3290.0,3273.0,3325.0
2053.T,bullish_engulfing,3,1804.0,1804.0,1730.0,1730.0,1804.0
2055.T,bullish_engulfing,3,353.0,351.0,344.0,344.0,353.0
2070.T,bullish_engulfing,2,15165.0,14460.0,13995.0,13995.0,15165.0
2071.T,bullish_engulfing,2,18300.0,18100.0,17825.0,17800.0,18300.0
2072.T,bullish_engulfing,3,17990.0,16530.0,16450.0,16450.0,17990.0
2089.T,bullish_engulfing,2,2825.0,2739.5,2738.5,2716.5,2825.0
2095.T,bullish_engulfing,3,1132.002685546875,1107.0686723530994,1100.087158203125,1092.108317774298,1132.002685546875
2117.T,bullish_engulfing,3,2858.0,2825.0,2824.0,2824.0,2858.0
2122.T,bullish_engulfing,3,1219.0,1203.0,1199.0,1199.0,1219.0
2139.T,bullish_engulfing,3,436.0,424.0,415.0,415.0,436.0
2158.T,bullish_engulfing,2,949.0,873.0,837.0,837.0,949.0
2160.T,bullish_engulfing,3,2548.0,2543.0,2412.0,2412.0,2548.0
2164.T,bullish_engulfing,3,364.0,305.0,240.0,240.0,364.0
2175.T,bullish_engulfing,3,1634.0,1365.0,1350.0,1350.0,1634.0
2179.T,bullish_engulfing,3,810.0,809.0,789.0,789.0,810.0
2183.T,bullish_engulfing,3,311.0,302.0,293.0,293.0,311.0
2196.T,bullish_engulfing,2,167.0,164.0,162.0,162.0,167.0
2201.T,bullish_engulfing,3,2696.0,2672.0,2660.0,2660.0,2696.0
2215.T,bullish_engulfing,2,624.0,615.0,612.0,612.0,624.0
2252.T,bullish_engulfing,2,1332.0,1316.0,1307.0,1305.0,1332.0
2253.T,bullish_engulfing,3,1197.2266845703125,1186.3157591101242,1158.54248046875,1158.5424752097142,1197.2266845703125
2264.T,bullish_engulfing,3,3980.0,3753.0,3724.0,3724.0,3980.0
2282.T,bullish_engulfing,3,6968.0,6922.0,6557.0,6557.0,6968.0
2291.T,bullish_engulfing,3,632.0,629.0,612.0,612.0,632.0
2300.T,bullish_engulfing,4,528.4689331054688,507.6864500641823,506.6968078613281,506.6968047752809,528.4689331054688
2323.T,bullish_engulfing,4,332.6666564941406,266.3333435058594,261.0,261.0,332.6666564941406
2334.T,bullish_engulfing,3,442.0,426.0,412.0,412.0,442.0
2337.T,bullish_engulfing,2,431.1523132324219,426.28604223452857,396.1151123046875,396.11510493362465,431.1523132324219
2345.T,bullish_engulfing,3,244.0,239.0,218.0,218.0,244.0
2349.T,bullish_engulfing,3,2318.0,2306.0,2277.0,2277.0,2318.0
2353.T,bullish_engulfing,3,285.0,281.0,260.0,260.0,285.0
2359.T,bullish_engulfing,4,2070.0,2062.0,2043.0,2043.0,2070.0
2395.T,bullish_engulfing,2,1703.0,1672.0,1617.0,1610.0,1703.0
2404.T,bullish_engulfing,4,490.0,473.0,459.0,459.0,490.0
2410.T,bullish_engulfing,2,2569.0,2454.0,2447.0,2430.0,2569.0
2411.T,bullish_engulfing,3,474.0,470.0,465.0,465.0,474.0
2425.T,bullish_engulfing,3,814.0,803.0,791.0,791.0,814.0
2432.T,bullish_engulfing,2,2660.0,2538.0,2531.0,2525.0,2660.0
2435.T,bullish_engulfing,3,220.0,216.0,213.0,213.0,220.0
